#{"t_start": 1645379623.556783, "env_id": null}
r,l,t
1.071429,4,127.721728
1.095238,5,127.784729
1.190476,9,127.883732
-0.857143,7,127.968786
1.142857,7,128.125787
1.214286,10,128.235786
1.119048,6,128.308785
-0.809524,9,128.413797
-0.690476,14,128.562204
-0.833333,8,128.657201
1.119048,6,128.728201
-9.547619,20,128.925586
-0.833333,8,129.019888
1.261905,12,129.150686
-0.785714,10,129.263698
-0.785714,10,129.376687
-0.809524,9,129.552204
1.285714,13,129.689388
1.166667,8,129.779386
1.214286,10,129.886384
1.238095,11,130.002383
1.214286,10,130.110384
1.214286,10,130.223384
1.261905,12,130.349384
-0.833333,8,130.441384
1.238095,11,130.560383
-9.595238,18,130.736383
1.309524,14,130.878384
1.238095,11,131.107384
1.214286,10,131.215384
1.142857,7,131.294709
1.238095,11,131.412704
1.214286,10,131.520705
1.166667,8,131.608705
1.119048,6,131.677705
1.309524,14,131.819705
1.238095,11,132.158705
1.261905,12,132.287704
1.214286,10,132.393705
-0.928571,4,132.450705
-0.833333,8,132.542564
1.214286,10,132.732221
1.333333,15,132.883221
1.190476,9,132.982226
-0.761905,11,133.099221
1.333333,15,133.25214
1.238095,11,133.372139
1.142857,7,133.454145
1.238095,11,133.56897
-0.690476,14,133.716971
1.095238,5,133.776974
1.238095,11,133.892969
-0.833333,8,134.007974
1.071429,4,134.060968
1.261905,12,134.28707
-9.738095,12,134.41917
1.214286,10,134.52917
-9.738095,12,134.657179
1.261905,12,134.784176
1.142857,7,134.865177
1.261905,12,134.991171
1.142857,7,135.070171
1.214286,10,135.17917
1.190476,9,135.28018
1.095238,5,135.341174
1.142857,7,135.420175
1.166667,8,135.509865
1.214286,10,135.621012
-0.833333,8,135.78744
1.333333,15,135.940437
1.261905,12,136.071439
-0.785714,10,136.184436
-0.738095,12,136.316436
-0.880952,6,136.391435
-9.880952,6,136.46739
1.166667,8,136.557391
1.166667,8,136.647823
1.261905,12,136.771821
-0.761905,11,136.893821
-0.785714,10,137.007822
-0.857143,7,137.09127
-0.833333,8,137.26027
-0.809524,9,137.362271
-0.738095,12,137.496272
1.142857,7,137.576271
-0.714286,13,137.719092
1.261905,12,137.845147
1.380952,17,138.015139
-9.785714,10,138.11819
1.190476,9,138.21519
1.142857,7,138.298188
-9.761905,11,138.411185
1.238095,11,138.526186
1.238095,11,138.714578
1.238095,11,138.831583
1.238095,11,138.947859
-0.785714,10,139.057214
1.190476,9,139.158215
1.190476,9,139.256218
-9.714286,13,139.387388
1.309524,14,139.533324
1.404762,18,139.711255
1.166667,8,139.799259
1.190476,9,139.897257
1.214286,10,140.005258
-0.880952,6,140.156255
1.166667,8,140.245255
-0.785714,10,140.355257
1.166667,8,140.446834
1.166667,8,140.534831
1.190476,9,140.632762
1.238095,11,140.744763
-0.761905,11,140.865762
-0.904762,5,140.930723
1.119048,6,141.001063
